Target: daily_price_change | Layers 004| Heads 012| Epoch 000 | Train Loss 0.059028711 | Valid Loss 0.006145183| lr 0.000009000 | time 694.560
Target: daily_price_change | Layers 004| Heads 012| Epoch 001 | Train Loss 0.006833842 | Valid Loss 0.006158069| lr 0.000009000 | time 500.491
Target: daily_price_change | Layers 004| Heads 012| Epoch 002 | Train Loss 0.006639972 | Valid Loss 0.006066671| lr 0.000009000 | time 501.374
Target: daily_price_change | Layers 004| Heads 012| Epoch 003 | Train Loss 0.006468346 | Valid Loss 0.005980129| lr 0.000009000 | time 501.800
Target: daily_price_change | Layers 004| Heads 012| Epoch 004 | Train Loss 0.006274461 | Valid Loss 0.006033371| lr 0.000009000 | time 501.760
Target: daily_price_change | Layers 004| Heads 012| Epoch 005 | Train Loss 0.005946001 | Valid Loss 0.006174342| lr 0.000009000 | time 502.016
Target: daily_price_change | Layers 004| Heads 012| Epoch 006 | Train Loss 0.005646471 | Valid Loss 0.006623983| lr 0.000009000 | time 501.961
Target: daily_price_change | Layers 004| Heads 012| Epoch 007 | Train Loss 0.005161692 | Valid Loss 0.007035747| lr 0.000009000 | time 500.971
Target: daily_price_change | Layers 004| Heads 012| Epoch 008 | Train Loss 0.004535749 | Valid Loss 0.007962652| lr 0.000009000 | time 501.225
Target: daily_price_change | Layers 004| Heads 012| Epoch 009 | Train Loss 0.003785270 | Valid Loss 0.006833055| lr 0.000009000 | time 501.464
