Target: monthly_avg_price_change | Layers 004| Heads 004| Epoch 000 | Train Loss 2.143883019 | Valid Loss 0.011107119| lr 0.000600000 | time 1326.944
Target: monthly_avg_price_change | Layers 004| Heads 004| Epoch 001 | Train Loss 32.730334938 | Valid Loss 0.014136917| lr 0.000600000 | time 1374.919
Target: monthly_avg_price_change | Layers 004| Heads 004| Epoch 002 | Train Loss 0.305534079 | Valid Loss 0.010928272| lr 0.000600000 | time 1549.994
Target: monthly_avg_price_change | Layers 004| Heads 004| Epoch 003 | Train Loss 0.011914694 | Valid Loss 0.010837485| lr 0.000600000 | time 1335.002
Target: monthly_avg_price_change | Layers 004| Heads 004| Epoch 004 | Train Loss 0.011745722 | Valid Loss 0.010676351| lr 0.000600000 | time 1340.106
Target: monthly_avg_price_change | Layers 004| Heads 004| Epoch 005 | Train Loss 0.011966681 | Valid Loss 0.010729964| lr 0.000600000 | time 1281.106
Target: monthly_avg_price_change | Layers 004| Heads 004| Epoch 006 | Train Loss 0.012494860 | Valid Loss 0.011016120| lr 0.000600000 | time 1250.243
Target: monthly_avg_price_change | Layers 004| Heads 004| Epoch 007 | Train Loss 0.011487663 | Valid Loss 0.010690741| lr 0.000600000 | time 1285.221
Target: monthly_avg_price_change | Layers 004| Heads 004| Epoch 008 | Train Loss 0.012610846 | Valid Loss 0.010825129| lr 0.000600000 | time 1282.512
Target: monthly_avg_price_change | Layers 004| Heads 004| Epoch 009 | Train Loss 0.011534656 | Valid Loss 0.010706561| lr 0.000600000 | time 1266.019
