Target: daily_price_change | Layers 004| Heads 004| Epoch 000 | Train Loss 0.157938100 | Valid Loss 0.006093903| lr 0.000030000 | time 1198.762
Target: daily_price_change | Layers 004| Heads 004| Epoch 001 | Train Loss 0.006820962 | Valid Loss 0.006058245| lr 0.000030000 | time 719.058
Target: daily_price_change | Layers 004| Heads 004| Epoch 002 | Train Loss 0.007034732 | Valid Loss 0.006031555| lr 0.000030000 | time 720.202
Target: daily_price_change | Layers 004| Heads 004| Epoch 003 | Train Loss 0.006712717 | Valid Loss 0.005910825| lr 0.000030000 | time 721.028
Target: daily_price_change | Layers 004| Heads 004| Epoch 004 | Train Loss 0.006333660 | Valid Loss 0.005827541| lr 0.000030000 | time 720.591
Target: daily_price_change | Layers 004| Heads 004| Epoch 005 | Train Loss 0.009691656 | Valid Loss 0.005945883| lr 0.000030000 | time 722.108
Target: daily_price_change | Layers 004| Heads 004| Epoch 006 | Train Loss 0.006374056 | Valid Loss 0.006368448| lr 0.000030000 | time 719.804
Target: daily_price_change | Layers 004| Heads 004| Epoch 007 | Train Loss 0.007107213 | Valid Loss 0.006272535| lr 0.000030000 | time 719.986
Target: daily_price_change | Layers 004| Heads 004| Epoch 008 | Train Loss 0.009100656 | Valid Loss 0.006994960| lr 0.000030000 | time 720.347
Target: daily_price_change | Layers 004| Heads 004| Epoch 009 | Train Loss 0.010496749 | Valid Loss 0.006804627| lr 0.000030000 | time 718.962
