Target: daily_price_change | Layers 004| Heads 004| Epoch 000 | Train Loss 0.148447137 | Valid Loss 0.006515574| lr 0.000006000 | time 1198.763
Target: daily_price_change | Layers 004| Heads 004| Epoch 001 | Train Loss 0.006630804 | Valid Loss 0.006053963| lr 0.000006000 | time 719.019
Target: daily_price_change | Layers 004| Heads 004| Epoch 002 | Train Loss 0.006438888 | Valid Loss 0.006056882| lr 0.000006000 | time 720.216
Target: daily_price_change | Layers 004| Heads 004| Epoch 003 | Train Loss 0.006447130 | Valid Loss 0.006285295| lr 0.000006000 | time 721.098
Target: daily_price_change | Layers 004| Heads 004| Epoch 004 | Train Loss 0.006009228 | Valid Loss 0.006079353| lr 0.000006000 | time 720.632
Target: daily_price_change | Layers 004| Heads 004| Epoch 005 | Train Loss 0.006036364 | Valid Loss 0.006301682| lr 0.000006000 | time 722.178
Target: daily_price_change | Layers 004| Heads 004| Epoch 006 | Train Loss 0.005882509 | Valid Loss 0.006560283| lr 0.000006000 | time 719.803
Target: daily_price_change | Layers 004| Heads 004| Epoch 007 | Train Loss 0.005506944 | Valid Loss 0.006773554| lr 0.000006000 | time 719.986
Target: daily_price_change | Layers 004| Heads 004| Epoch 008 | Train Loss 0.005074578 | Valid Loss 0.007950390| lr 0.000006000 | time 720.345
Target: daily_price_change | Layers 004| Heads 004| Epoch 009 | Train Loss 0.004536410 | Valid Loss 0.007612074| lr 0.000006000 | time 718.964
