Target: logvol | Layers 004| Heads 008| Epoch 000 | Train Loss 1604093037934.095458984 | Valid Loss 503051148961.912719727| lr 0.007000000 | time 228.073
Target: logvol | Layers 004| Heads 008| Epoch 001 | Train Loss 7417639848236.196289062 | Valid Loss 787066126395.500244141| lr 0.007000000 | time 213.703
Target: logvol | Layers 004| Heads 008| Epoch 002 | Train Loss 8986044954341.050781250 | Valid Loss 110752382400782.562500000| lr 0.007000000 | time 217.068
Target: logvol | Layers 004| Heads 008| Epoch 003 | Train Loss 345113985634834.812500000 | Valid Loss 8093862765303.170898438| lr 0.007000000 | time 216.394
Target: logvol | Layers 004| Heads 008| Epoch 004 | Train Loss 123266138473805479936.000000000 | Valid Loss 185953534790524174336.000000000| lr 0.007000000 | time 216.666
Target: logvol | Layers 004| Heads 008| Epoch 005 | Train Loss 5362516642086.066406250 | Valid Loss 4932866605580.043945312| lr 0.007000000 | time 220.638
Target: logvol | Layers 004| Heads 008| Epoch 006 | Train Loss 19452229858987.683593750 | Valid Loss 1021657729858.346191406| lr 0.007000000 | time 219.521
Target: logvol | Layers 004| Heads 008| Epoch 007 | Train Loss 4147724183454674.000000000 | Valid Loss 2234540773033552.750000000| lr 0.007000000 | time 217.863
Target: logvol | Layers 004| Heads 008| Epoch 008 | Train Loss 164273426673562648576.000000000 | Valid Loss 193820803254521167872.000000000| lr 0.007000000 | time 217.910
Target: logvol | Layers 004| Heads 008| Epoch 009 | Train Loss 172799426828858523648.000000000 | Valid Loss 193820803254521167872.000000000| lr 0.007000000 | time 217.897
Target: logvol | Layers 004| Heads 008| Epoch 010 | Train Loss 8694438702440.751953125 | Valid Loss 75418943844.001617432| lr 0.007000000 | time 235.286
Target: logvol | Layers 004| Heads 008| Epoch 011 | Train Loss 6690121547576.151367188 | Valid Loss 17938673726300.003906250| lr 0.007000000 | time 231.216
Target: logvol | Layers 004| Heads 008| Epoch 012 | Train Loss 4578861855768.353515625 | Valid Loss 792348383059.368286133| lr 0.007000000 | time 223.543
Target: logvol | Layers 004| Heads 008| Epoch 013 | Train Loss 12463154772778.185546875 | Valid Loss 340737312718.473571777| lr 0.007000000 | time 230.347
Target: logvol | Layers 004| Heads 008| Epoch 014 | Train Loss 154250958888575.156250000 | Valid Loss 2357660922034.895019531| lr 0.007000000 | time 226.397
