Target: logvol | Layers 004| Heads 002| Epoch 000 | Train Loss 135.604890633 | Valid Loss 1313.207829686| lr 0.000600000 | time 350.579
Target: logvol | Layers 004| Heads 002| Epoch 001 | Train Loss 145.795618176 | Valid Loss 0.832786263| lr 0.000600000 | time 520.647
Target: logvol | Layers 004| Heads 002| Epoch 002 | Train Loss 0.118933416 | Valid Loss 0.105399248| lr 0.000600000 | time 491.903
Target: logvol | Layers 004| Heads 002| Epoch 003 | Train Loss 0.137671621 | Valid Loss 0.103458009| lr 0.000600000 | time 340.017
Target: logvol | Layers 004| Heads 002| Epoch 004 | Train Loss 0.095809040 | Valid Loss 0.103010148| lr 0.000600000 | time 270.841
Target: logvol | Layers 004| Heads 002| Epoch 005 | Train Loss 0.093167702 | Valid Loss 0.099593024| lr 0.000600000 | time 215.602
Target: logvol | Layers 004| Heads 002| Epoch 006 | Train Loss 0.091900976 | Valid Loss 0.099989257| lr 0.000600000 | time 214.202
Target: logvol | Layers 004| Heads 002| Epoch 007 | Train Loss 0.124969111 | Valid Loss 0.098702538| lr 0.000600000 | time 211.881
Target: logvol | Layers 004| Heads 002| Epoch 008 | Train Loss 0.088071832 | Valid Loss 0.098330738| lr 0.000600000 | time 214.314
Target: logvol | Layers 004| Heads 002| Epoch 009 | Train Loss 0.091084437 | Valid Loss 0.098194372| lr 0.000600000 | time 214.007
Target: logvol | Layers 004| Heads 002| Epoch 010 | Train Loss 0.093054267 | Valid Loss 0.107504135| lr 0.000600000 | time 195.037
Target: logvol | Layers 004| Heads 002| Epoch 011 | Train Loss 0.093472455 | Valid Loss 0.098618067| lr 0.000600000 | time 202.905
Target: logvol | Layers 004| Heads 002| Epoch 012 | Train Loss 0.090914463 | Valid Loss 0.130566694| lr 0.000600000 | time 190.475
Target: logvol | Layers 004| Heads 002| Epoch 013 | Train Loss 0.088280694 | Valid Loss 0.100987643| lr 0.000600000 | time 189.282
Target: logvol | Layers 004| Heads 002| Epoch 014 | Train Loss 0.091340935 | Valid Loss 0.097491186| lr 0.000600000 | time 189.270
