Target: logvol | Layers 004| Heads 008| Epoch 000 | Train Loss 125231810825.328720093 | Valid Loss 73529233524.996520996| lr 0.006000000 | time 228.794
Target: logvol | Layers 004| Heads 008| Epoch 001 | Train Loss 792634093807.231567383 | Valid Loss 110558038722.398651123| lr 0.006000000 | time 219.947
Target: logvol | Layers 004| Heads 008| Epoch 002 | Train Loss 1043562702734.307617188 | Valid Loss 259829322947.503082275| lr 0.006000000 | time 222.547
Target: logvol | Layers 004| Heads 008| Epoch 003 | Train Loss 407508117675551040.000000000 | Valid Loss 105401815897703284736.000000000| lr 0.006000000 | time 219.868
Target: logvol | Layers 004| Heads 008| Epoch 004 | Train Loss 191011453701365661696.000000000 | Valid Loss 2306926141264680189952.000000000| lr 0.006000000 | time 219.719
Target: logvol | Layers 004| Heads 008| Epoch 005 | Train Loss 544645362946.469055176 | Valid Loss 687589184569.052246094| lr 0.006000000 | time 220.269
Target: logvol | Layers 004| Heads 008| Epoch 006 | Train Loss 2488755542525.852539062 | Valid Loss 446420984623.918823242| lr 0.006000000 | time 219.206
Target: logvol | Layers 004| Heads 008| Epoch 007 | Train Loss 11746723685874.707031250 | Valid Loss 27803834080.165508270| lr 0.006000000 | time 218.001
Target: logvol | Layers 004| Heads 008| Epoch 008 | Train Loss 31313901252349.226562500 | Valid Loss 1371939192018.382080078| lr 0.006000000 | time 217.826
Target: logvol | Layers 004| Heads 008| Epoch 009 | Train Loss 730881624933258.625000000 | Valid Loss 2024317803627653.500000000| lr 0.006000000 | time 218.289
Target: logvol | Layers 004| Heads 008| Epoch 010 | Train Loss 127500100384792428544.000000000 | Valid Loss 202578472249836175360.000000000| lr 0.006000000 | time 228.837
Target: logvol | Layers 004| Heads 008| Epoch 011 | Train Loss 201000478324968882176.000000000 | Valid Loss 202578472249836175360.000000000| lr 0.006000000 | time 223.979
Target: logvol | Layers 004| Heads 008| Epoch 012 | Train Loss 6688137428216329535488.000000000 | Valid Loss 56266324747197807067136.000000000| lr 0.006000000 | time 221.899
Target: logvol | Layers 004| Heads 008| Epoch 013 | Train Loss 2022833002542077055074304.000000000 | Valid Loss 2253163030578980481662976.000000000| lr 0.006000000 | time 225.387
Target: logvol | Layers 004| Heads 008| Epoch 014 | Train Loss 2178199748180743230062592.000000000 | Valid Loss 2253163030578980481662976.000000000| lr 0.006000000 | time 229.357
