Target: logvol | Layers 004| Heads 004| Epoch 000 | Train Loss 40413.718187711 | Valid Loss 0.372213762| lr 0.001300000 | time 220.435
Target: logvol | Layers 004| Heads 004| Epoch 001 | Train Loss 508.753206174 | Valid Loss 0.424962384| lr 0.001300000 | time 207.444
Target: logvol | Layers 004| Heads 004| Epoch 002 | Train Loss 0.178053040 | Valid Loss 0.106868642| lr 0.001300000 | time 206.606
Target: logvol | Layers 004| Heads 004| Epoch 003 | Train Loss 20014.844350473 | Valid Loss 0.414091515| lr 0.001300000 | time 209.568
Target: logvol | Layers 004| Heads 004| Epoch 004 | Train Loss 64286.476535035 | Valid Loss 0.100423430| lr 0.001300000 | time 202.485
Target: logvol | Layers 004| Heads 004| Epoch 005 | Train Loss 87.586719890 | Valid Loss 2.973070428| lr 0.001300000 | time 224.023
Target: logvol | Layers 004| Heads 004| Epoch 006 | Train Loss 4.819201273 | Valid Loss 0.095472208| lr 0.001300000 | time 206.420
Target: logvol | Layers 004| Heads 004| Epoch 007 | Train Loss 0.518953019 | Valid Loss 0.107564171| lr 0.001300000 | time 206.575
Target: logvol | Layers 004| Heads 004| Epoch 008 | Train Loss 0.229974774 | Valid Loss 14.199691164| lr 0.001300000 | time 206.380
Target: logvol | Layers 004| Heads 004| Epoch 009 | Train Loss 0.405489088 | Valid Loss 0.095067116| lr 0.001300000 | time 208.893
Target: logvol | Layers 004| Heads 004| Epoch 010 | Train Loss 0.170699333 | Valid Loss 0.094986846| lr 0.001300000 | time 207.755
Target: logvol | Layers 004| Heads 004| Epoch 011 | Train Loss 0.692581297 | Valid Loss 0.095152646| lr 0.001300000 | time 209.011
Target: logvol | Layers 004| Heads 004| Epoch 012 | Train Loss 0.157352619 | Valid Loss 0.247825368| lr 0.001300000 | time 207.939
Target: logvol | Layers 004| Heads 004| Epoch 013 | Train Loss 0.315642376 | Valid Loss 0.117465938| lr 0.001300000 | time 207.227
Target: logvol | Layers 004| Heads 004| Epoch 014 | Train Loss 0.272445086 | Valid Loss 0.096739792| lr 0.001300000 | time 208.032
