Target: logvol | Layers 004| Heads 004| Epoch 000 | Train Loss 998627475470264958976.000000000 | Valid Loss 2549182611964961488896.000000000| lr 0.010000000 | time 216.274
Target: logvol | Layers 004| Heads 004| Epoch 001 | Train Loss 28382476255750166799187968.000000000 | Valid Loss 38248297392531364428906496.000000000| lr 0.010000000 | time 216.169
Target: logvol | Layers 004| Heads 004| Epoch 002 | Train Loss 38216330146907030569353216.000000000 | Valid Loss 38248297392531364428906496.000000000| lr 0.010000000 | time 223.143
Target: logvol | Layers 004| Heads 004| Epoch 003 | Train Loss 38203050506513283744268288.000000000 | Valid Loss 38248297392531364428906496.000000000| lr 0.010000000 | time 215.913
Target: logvol | Layers 004| Heads 004| Epoch 004 | Train Loss 38278428770798253495025664.000000000 | Valid Loss 38248297392531364428906496.000000000| lr 0.010000000 | time 223.163
Target: logvol | Layers 004| Heads 004| Epoch 005 | Train Loss 1359579564249939986874368.000000000 | Valid Loss 1695967144727600213000192.000000000| lr 0.010000000 | time 218.153
Target: logvol | Layers 004| Heads 004| Epoch 006 | Train Loss 1491974911404416356581376.000000000 | Valid Loss 1695967144727600213000192.000000000| lr 0.010000000 | time 218.128
Target: logvol | Layers 004| Heads 004| Epoch 007 | Train Loss 1490092065896002695987200.000000000 | Valid Loss 1695967144727600213000192.000000000| lr 0.010000000 | time 221.454
Target: logvol | Layers 004| Heads 004| Epoch 008 | Train Loss 1491504152616879163179008.000000000 | Valid Loss 1695967144727600213000192.000000000| lr 0.010000000 | time 222.226
Target: logvol | Layers 004| Heads 004| Epoch 009 | Train Loss 1490331690516732404826112.000000000 | Valid Loss 1695967144727600213000192.000000000| lr 0.010000000 | time 220.045
Target: logvol | Layers 004| Heads 004| Epoch 010 | Train Loss 3703305115760179957202944.000000000 | Valid Loss 4405230465334626681356288.000000000| lr 0.010000000 | time 198.733
Target: logvol | Layers 004| Heads 004| Epoch 011 | Train Loss 4438047326613663419203584.000000000 | Valid Loss 4405230465334626681356288.000000000| lr 0.010000000 | time 208.720
Target: logvol | Layers 004| Heads 004| Epoch 012 | Train Loss 4454659356368683780800512.000000000 | Valid Loss 4405230465334626681356288.000000000| lr 0.010000000 | time 207.621
Target: logvol | Layers 004| Heads 004| Epoch 013 | Train Loss 4451465611653273480069120.000000000 | Valid Loss 4405230465334626681356288.000000000| lr 0.010000000 | time 196.673
Target: logvol | Layers 004| Heads 004| Epoch 014 | Train Loss 4454226245271216782835712.000000000 | Valid Loss 4405230465334626681356288.000000000| lr 0.010000000 | time 207.203
