Target: logvol | Layers 004| Heads 002| Epoch 000 | Train Loss 2005121060.062717199 | Valid Loss 63370.907816090| lr 0.007000000 | time 206.505
Target: logvol | Layers 004| Heads 002| Epoch 001 | Train Loss 582603.717443924 | Valid Loss 4.005362250| lr 0.007000000 | time 201.018
Target: logvol | Layers 004| Heads 002| Epoch 002 | Train Loss 319889.535906868 | Valid Loss 6.010987784| lr 0.007000000 | time 200.926
Target: logvol | Layers 004| Heads 002| Epoch 003 | Train Loss 148982.702169530 | Valid Loss 73.566469755| lr 0.007000000 | time 200.717
Target: logvol | Layers 004| Heads 002| Epoch 004 | Train Loss 225394.614851670 | Valid Loss 299.659366553| lr 0.007000000 | time 205.954
Target: logvol | Layers 004| Heads 002| Epoch 005 | Train Loss 185957.339232081 | Valid Loss 152.374361734| lr 0.007000000 | time 221.851
Target: logvol | Layers 004| Heads 002| Epoch 006 | Train Loss 345902.672373519 | Valid Loss 241443.159624497| lr 0.007000000 | time 225.025
Target: logvol | Layers 004| Heads 002| Epoch 007 | Train Loss 505335.355637023 | Valid Loss 3628345.564187249| lr 0.007000000 | time 230.328
Target: logvol | Layers 004| Heads 002| Epoch 008 | Train Loss 250574.477398263 | Valid Loss 44.108117535| lr 0.007000000 | time 227.402
Target: logvol | Layers 004| Heads 002| Epoch 009 | Train Loss 115636.400354517 | Valid Loss 0.712592728| lr 0.007000000 | time 216.736
Target: logvol | Layers 004| Heads 002| Epoch 010 | Train Loss 90359.188440029 | Valid Loss 15.474480100| lr 0.007000000 | time 209.337
Target: logvol | Layers 004| Heads 002| Epoch 011 | Train Loss 96791.168623688 | Valid Loss 11.152300762| lr 0.007000000 | time 208.895
Target: logvol | Layers 004| Heads 002| Epoch 012 | Train Loss 185820.050935765 | Valid Loss 30503.047778082| lr 0.007000000 | time 208.840
Target: logvol | Layers 004| Heads 002| Epoch 013 | Train Loss 230667.123624005 | Valid Loss 1060.514664704| lr 0.007000000 | time 217.087
Target: logvol | Layers 004| Heads 002| Epoch 014 | Train Loss 340088.248875422 | Valid Loss 144.179208461| lr 0.007000000 | time 213.253
