Target: logvol | Layers 004| Heads 004| Epoch 000 | Train Loss 97137112110112.218750000 | Valid Loss 38944166238447.890625000| lr 0.007000000 | time 228.649
Target: logvol | Layers 004| Heads 004| Epoch 001 | Train Loss 307320979857479499776.000000000 | Valid Loss 596415068353937670144.000000000| lr 0.007000000 | time 225.785
Target: logvol | Layers 004| Heads 004| Epoch 002 | Train Loss 30145106242721107935232.000000000 | Valid Loss 5449463507948325044224.000000000| lr 0.007000000 | time 223.153
Target: logvol | Layers 004| Heads 004| Epoch 003 | Train Loss 6349308532027614560256.000000000 | Valid Loss 6108526087123487424512.000000000| lr 0.007000000 | time 209.681
Target: logvol | Layers 004| Heads 004| Epoch 004 | Train Loss 726757418001271166599168.000000000 | Valid Loss 1233372749475282847531008.000000000| lr 0.007000000 | time 221.028
Target: logvol | Layers 004| Heads 004| Epoch 005 | Train Loss 29194866715580428.000000000 | Valid Loss 29437950510.103019714| lr 0.007000000 | time 221.111
Target: logvol | Layers 004| Heads 004| Epoch 006 | Train Loss 133075750816.343719482 | Valid Loss 19.316968055| lr 0.007000000 | time 224.582
Target: logvol | Layers 004| Heads 004| Epoch 007 | Train Loss 1221888939.093929529 | Valid Loss 17592507.519463938| lr 0.007000000 | time 214.898
Target: logvol | Layers 004| Heads 004| Epoch 008 | Train Loss 138730746855395.140625000 | Valid Loss 599.905340958| lr 0.007000000 | time 222.867
Target: logvol | Layers 004| Heads 004| Epoch 009 | Train Loss 1073967108.081362486 | Valid Loss 18.216524688| lr 0.007000000 | time 226.872
Target: logvol | Layers 004| Heads 004| Epoch 010 | Train Loss 136750.721810823 | Valid Loss 1670.460235648| lr 0.007000000 | time 219.202
Target: logvol | Layers 004| Heads 004| Epoch 011 | Train Loss 284133.710760938 | Valid Loss 5.342833722| lr 0.007000000 | time 212.765
Target: logvol | Layers 004| Heads 004| Epoch 012 | Train Loss 130187.737092050 | Valid Loss 36.527104235| lr 0.007000000 | time 217.943
Target: logvol | Layers 004| Heads 004| Epoch 013 | Train Loss 574745.254510160 | Valid Loss 186.965450981| lr 0.007000000 | time 221.139
Target: logvol | Layers 004| Heads 004| Epoch 014 | Train Loss 186328.567487755 | Valid Loss 358.156905611| lr 0.007000000 | time 253.641
