Target: logvol | Layers 004| Heads 002| Epoch 000 | Train Loss 9438.892493076 | Valid Loss 0.121033678| lr 0.001200000 | time 329.104
Target: logvol | Layers 004| Heads 002| Epoch 001 | Train Loss 5299.965435794 | Valid Loss 0.106884888| lr 0.001200000 | time 462.422
Target: logvol | Layers 004| Heads 002| Epoch 002 | Train Loss 0.842524833 | Valid Loss 0.142975101| lr 0.001200000 | time 592.827
Target: logvol | Layers 004| Heads 002| Epoch 003 | Train Loss 0.445148028 | Valid Loss 0.100229987| lr 0.001200000 | time 491.183
Target: logvol | Layers 004| Heads 002| Epoch 004 | Train Loss 0.176798709 | Valid Loss 0.104382142| lr 0.001200000 | time 311.212
Target: logvol | Layers 004| Heads 002| Epoch 005 | Train Loss 0.204323777 | Valid Loss 0.097031292| lr 0.001200000 | time 215.843
Target: logvol | Layers 004| Heads 002| Epoch 006 | Train Loss 863.254932014 | Valid Loss 0.094944945| lr 0.001200000 | time 213.975
Target: logvol | Layers 004| Heads 002| Epoch 007 | Train Loss 48.859480881 | Valid Loss 0.100439611| lr 0.001200000 | time 211.801
Target: logvol | Layers 004| Heads 002| Epoch 008 | Train Loss 2.508291221 | Valid Loss 0.117979961| lr 0.001200000 | time 216.573
Target: logvol | Layers 004| Heads 002| Epoch 009 | Train Loss 31.424304860 | Valid Loss 0.095341715| lr 0.001200000 | time 211.895
Target: logvol | Layers 004| Heads 002| Epoch 010 | Train Loss 29.336202367 | Valid Loss 0.095122570| lr 0.001200000 | time 217.863
Target: logvol | Layers 004| Heads 002| Epoch 011 | Train Loss 11.761123712 | Valid Loss 0.099289659| lr 0.001200000 | time 203.280
Target: logvol | Layers 004| Heads 002| Epoch 012 | Train Loss 442.257197364 | Valid Loss 0.095802953| lr 0.001200000 | time 197.816
Target: logvol | Layers 004| Heads 002| Epoch 013 | Train Loss 0.880550591 | Valid Loss 0.128802343| lr 0.001200000 | time 198.594
Target: logvol | Layers 004| Heads 002| Epoch 014 | Train Loss 253.128573867 | Valid Loss 0.101737712| lr 0.001200000 | time 199.403
