Target: logvol | Layers 004| Heads 004| Epoch 000 | Train Loss 1379841744445242112.000000000 | Valid Loss 7149265780112041984.000000000| lr 0.006000000 | time 261.542
Target: logvol | Layers 004| Heads 004| Epoch 001 | Train Loss 564810617255618624.000000000 | Valid Loss 537779.446933735| lr 0.006000000 | time 254.154
Target: logvol | Layers 004| Heads 004| Epoch 002 | Train Loss 3846230165.948512554 | Valid Loss 122.382985180| lr 0.006000000 | time 259.865
Target: logvol | Layers 004| Heads 004| Epoch 003 | Train Loss 701070.929105964 | Valid Loss 5807.833828159| lr 0.006000000 | time 270.932
Target: logvol | Layers 004| Heads 004| Epoch 004 | Train Loss 379121.239747448 | Valid Loss 5.732128754| lr 0.006000000 | time 267.736
Target: logvol | Layers 004| Heads 004| Epoch 005 | Train Loss 36676.479819744 | Valid Loss 0.267361494| lr 0.006000000 | time 239.088
Target: logvol | Layers 004| Heads 004| Epoch 006 | Train Loss 47485.887852651 | Valid Loss 0.168311790| lr 0.006000000 | time 237.392
Target: logvol | Layers 004| Heads 004| Epoch 007 | Train Loss 41648.097578734 | Valid Loss 20.849145498| lr 0.006000000 | time 254.094
Target: logvol | Layers 004| Heads 004| Epoch 008 | Train Loss 28230.625852716 | Valid Loss 3484.196194968| lr 0.006000000 | time 265.350
Target: logvol | Layers 004| Heads 004| Epoch 009 | Train Loss 77055.371461538 | Valid Loss 99.601458756| lr 0.006000000 | time 265.252
Target: logvol | Layers 004| Heads 004| Epoch 010 | Train Loss 34707.387044853 | Valid Loss 58251.768844683| lr 0.006000000 | time 230.139
Target: logvol | Layers 004| Heads 004| Epoch 011 | Train Loss 29089.562358197 | Valid Loss 156.106036546| lr 0.006000000 | time 210.140
Target: logvol | Layers 004| Heads 004| Epoch 012 | Train Loss 93428.850854988 | Valid Loss 12.526121259| lr 0.006000000 | time 208.564
Target: logvol | Layers 004| Heads 004| Epoch 013 | Train Loss 34858.458362338 | Valid Loss 0.712997910| lr 0.006000000 | time 207.145
Target: logvol | Layers 004| Heads 004| Epoch 014 | Train Loss 63210.315971350 | Valid Loss 564.170840365| lr 0.006000000 | time 209.707
