Target: logvol | Layers 004| Heads 008| Epoch 000 | Train Loss 115991279.496608198 | Valid Loss 35657962.021445349| lr 0.003000000 | time 228.069
Target: logvol | Layers 004| Heads 008| Epoch 001 | Train Loss 458819787.076905549 | Valid Loss 104808551.911380693| lr 0.003000000 | time 215.236
Target: logvol | Layers 004| Heads 008| Epoch 002 | Train Loss 1393648511.770974636 | Valid Loss 66388408.674079604| lr 0.003000000 | time 215.502
Target: logvol | Layers 004| Heads 008| Epoch 003 | Train Loss 959819390.209890842 | Valid Loss 1065113272.356157184| lr 0.003000000 | time 217.554
Target: logvol | Layers 004| Heads 008| Epoch 004 | Train Loss 2493319704.775605202 | Valid Loss 265695143.429818094| lr 0.003000000 | time 216.849
Target: logvol | Layers 004| Heads 008| Epoch 005 | Train Loss 5488904228.191763878 | Valid Loss 589098587.573786497| lr 0.003000000 | time 221.242
Target: logvol | Layers 004| Heads 008| Epoch 006 | Train Loss 1444748167.504523754 | Valid Loss 549357589.336803555| lr 0.003000000 | time 218.346
Target: logvol | Layers 004| Heads 008| Epoch 007 | Train Loss 1447392821.457687140 | Valid Loss 1201530829.604106903| lr 0.003000000 | time 217.903
Target: logvol | Layers 004| Heads 008| Epoch 008 | Train Loss 4605792245.577169418 | Valid Loss 150018610.377195060| lr 0.003000000 | time 217.907
Target: logvol | Layers 004| Heads 008| Epoch 009 | Train Loss 360579015.031516790 | Valid Loss 22268.750810789| lr 0.003000000 | time 224.608
Target: logvol | Layers 004| Heads 008| Epoch 010 | Train Loss 265849.415647444 | Valid Loss 0.136573503| lr 0.003000000 | time 231.648
Target: logvol | Layers 004| Heads 008| Epoch 011 | Train Loss 124.422805109 | Valid Loss 0.169049885| lr 0.003000000 | time 233.507
Target: logvol | Layers 004| Heads 008| Epoch 012 | Train Loss 109.752762089 | Valid Loss 0.094645293| lr 0.003000000 | time 234.100
Target: logvol | Layers 004| Heads 008| Epoch 013 | Train Loss 69.289932917 | Valid Loss 0.659409363| lr 0.003000000 | time 237.206
Target: logvol | Layers 004| Heads 008| Epoch 014 | Train Loss 21.110051891 | Valid Loss 0.162723001| lr 0.003000000 | time 233.271
