Target: logvol | Layers 004| Heads 012| Epoch 000 | Train Loss 2221737956.205112457 | Valid Loss 915920812.777910709| lr 0.004000000 | time 250.822
Target: logvol | Layers 004| Heads 012| Epoch 001 | Train Loss 31087136341.240592957 | Valid Loss 3898161716.719528675| lr 0.004000000 | time 236.817
Target: logvol | Layers 004| Heads 012| Epoch 002 | Train Loss 96460954920.599075317 | Valid Loss 9756780878.505058289| lr 0.004000000 | time 242.950
Target: logvol | Layers 004| Heads 012| Epoch 003 | Train Loss 182406374145.529022217 | Valid Loss 16075407744.574043274| lr 0.004000000 | time 242.846
Target: logvol | Layers 004| Heads 012| Epoch 004 | Train Loss 168332054262.522705078 | Valid Loss 1652038284259.704833984| lr 0.004000000 | time 237.078
Target: logvol | Layers 004| Heads 012| Epoch 005 | Train Loss 35620972282.319038391 | Valid Loss 1370641580.731989622| lr 0.004000000 | time 240.486
Target: logvol | Layers 004| Heads 012| Epoch 006 | Train Loss 55381129792.748443604 | Valid Loss 42704095108.332954407| lr 0.004000000 | time 237.993
Target: logvol | Layers 004| Heads 012| Epoch 007 | Train Loss 72401668485.181732178 | Valid Loss 26527784773.310901642| lr 0.004000000 | time 238.292
Target: logvol | Layers 004| Heads 012| Epoch 008 | Train Loss 186175151096.723358154 | Valid Loss 59165022944.204872131| lr 0.004000000 | time 238.106
Target: logvol | Layers 004| Heads 012| Epoch 009 | Train Loss 196629602618.896148682 | Valid Loss 13540361973.132129669| lr 0.004000000 | time 240.476
Target: logvol | Layers 004| Heads 012| Epoch 010 | Train Loss 29622289048.092536926 | Valid Loss 3042772094.956067562| lr 0.004000000 | time 242.140
Target: logvol | Layers 004| Heads 012| Epoch 011 | Train Loss 44951693445.873626709 | Valid Loss 5420528186.864032745| lr 0.004000000 | time 245.799
Target: logvol | Layers 004| Heads 012| Epoch 012 | Train Loss 139568056222.506744385 | Valid Loss 2231772824.627006054| lr 0.004000000 | time 248.523
Target: logvol | Layers 004| Heads 012| Epoch 013 | Train Loss 40537328875.565872192 | Valid Loss 355192972.497227490| lr 0.004000000 | time 246.880
Target: logvol | Layers 004| Heads 012| Epoch 014 | Train Loss 14551193599.349458694 | Valid Loss 77245816658.739685059| lr 0.004000000 | time 239.592
