Target: logvol | Layers 004| Heads 004| Epoch 000 | Train Loss 1.355066966 | Valid Loss 0.322549142| lr 0.000300000 | time 220.508
Target: logvol | Layers 004| Heads 004| Epoch 001 | Train Loss 1.241601804 | Valid Loss 0.766435492| lr 0.000300000 | time 207.447
Target: logvol | Layers 004| Heads 004| Epoch 002 | Train Loss 1.456953691 | Valid Loss 0.811590325| lr 0.000300000 | time 206.520
Target: logvol | Layers 004| Heads 004| Epoch 003 | Train Loss 4.266646280 | Valid Loss 0.541294860| lr 0.000300000 | time 201.945
Target: logvol | Layers 004| Heads 004| Epoch 004 | Train Loss 7.881438522 | Valid Loss 0.399526754| lr 0.000300000 | time 202.233
Target: logvol | Layers 004| Heads 004| Epoch 005 | Train Loss 1.658657632 | Valid Loss 0.472859513| lr 0.000300000 | time 214.942
Target: logvol | Layers 004| Heads 004| Epoch 006 | Train Loss 2.950395885 | Valid Loss 0.640691854| lr 0.000300000 | time 198.104
Target: logvol | Layers 004| Heads 004| Epoch 007 | Train Loss 3.544242222 | Valid Loss 0.286960557| lr 0.000300000 | time 194.169
Target: logvol | Layers 004| Heads 004| Epoch 008 | Train Loss 2.918890498 | Valid Loss 27.152230855| lr 0.000300000 | time 199.905
Target: logvol | Layers 004| Heads 004| Epoch 009 | Train Loss 2.531523742 | Valid Loss 0.108976966| lr 0.000300000 | time 207.012
Target: logvol | Layers 004| Heads 004| Epoch 010 | Train Loss 10.754641797 | Valid Loss 0.214425688| lr 0.000300000 | time 211.503
Target: logvol | Layers 004| Heads 004| Epoch 011 | Train Loss 6.403809222 | Valid Loss 0.102727691| lr 0.000300000 | time 205.741
Target: logvol | Layers 004| Heads 004| Epoch 012 | Train Loss 2.575288338 | Valid Loss 0.106414093| lr 0.000300000 | time 207.857
Target: logvol | Layers 004| Heads 004| Epoch 013 | Train Loss 0.635253001 | Valid Loss 0.101551113| lr 0.000300000 | time 207.226
Target: logvol | Layers 004| Heads 004| Epoch 014 | Train Loss 0.937761437 | Valid Loss 0.095738670| lr 0.000300000 | time 207.975
