Target: logvol | Layers 004| Heads 012| Epoch 000 | Train Loss 0.578059326 | Valid Loss 0.221022420| lr 0.000200000 | time 254.808
Target: logvol | Layers 004| Heads 012| Epoch 001 | Train Loss 2.633285621 | Valid Loss 0.343840168| lr 0.000200000 | time 237.765
Target: logvol | Layers 004| Heads 012| Epoch 002 | Train Loss 289.377358722 | Valid Loss 0.136309281| lr 0.000200000 | time 239.997
Target: logvol | Layers 004| Heads 012| Epoch 003 | Train Loss 47.641272480 | Valid Loss 2.843387661| lr 0.000200000 | time 239.204
Target: logvol | Layers 004| Heads 012| Epoch 004 | Train Loss 27.653038702 | Valid Loss 0.144472144| lr 0.000200000 | time 237.366
Target: logvol | Layers 004| Heads 012| Epoch 005 | Train Loss 5.840812289 | Valid Loss 0.120512573| lr 0.000200000 | time 289.185
Target: logvol | Layers 004| Heads 012| Epoch 006 | Train Loss 25.418695160 | Valid Loss 0.109399890| lr 0.000200000 | time 265.024
Target: logvol | Layers 004| Heads 012| Epoch 007 | Train Loss 28.748221591 | Valid Loss 0.134971773| lr 0.000200000 | time 262.676
Target: logvol | Layers 004| Heads 012| Epoch 008 | Train Loss 0.422040381 | Valid Loss 0.122548502| lr 0.000200000 | time 262.693
Target: logvol | Layers 004| Heads 012| Epoch 009 | Train Loss 24.662426068 | Valid Loss 132.587687232| lr 0.000200000 | time 257.029
Target: logvol | Layers 004| Heads 012| Epoch 010 | Train Loss 0.510145586 | Valid Loss 0.217655037| lr 0.000200000 | time 237.997
Target: logvol | Layers 004| Heads 012| Epoch 011 | Train Loss 20.563245134 | Valid Loss 0.117781278| lr 0.000200000 | time 231.005
Target: logvol | Layers 004| Heads 012| Epoch 012 | Train Loss 3.286227405 | Valid Loss 0.278544938| lr 0.000200000 | time 231.845
Target: logvol | Layers 004| Heads 012| Epoch 013 | Train Loss 6.025777809 | Valid Loss 0.125137112| lr 0.000200000 | time 233.704
Target: logvol | Layers 004| Heads 012| Epoch 014 | Train Loss 23.151906736 | Valid Loss 1.210938697| lr 0.000200000 | time 235.686
