Target: logvol | Layers 004| Heads 004| Epoch 000 | Train Loss 155.915254356 | Valid Loss 0.119680534| lr 0.000900000 | time 241.631
Target: logvol | Layers 004| Heads 004| Epoch 001 | Train Loss 109.031511240 | Valid Loss 0.117009978| lr 0.000900000 | time 235.928
Target: logvol | Layers 004| Heads 004| Epoch 002 | Train Loss 0.112897036 | Valid Loss 0.098698236| lr 0.000900000 | time 236.070
Target: logvol | Layers 004| Heads 004| Epoch 003 | Train Loss 14.771794047 | Valid Loss 0.095610589| lr 0.000900000 | time 238.293
Target: logvol | Layers 004| Heads 004| Epoch 004 | Train Loss 0.120368242 | Valid Loss 0.096042161| lr 0.000900000 | time 252.637
Target: logvol | Layers 004| Heads 004| Epoch 005 | Train Loss 69.838408019 | Valid Loss 0.105511107| lr 0.000900000 | time 224.290
Target: logvol | Layers 004| Heads 004| Epoch 006 | Train Loss 0.101792885 | Valid Loss 1.321379294| lr 0.000900000 | time 208.348
Target: logvol | Layers 004| Heads 004| Epoch 007 | Train Loss 0.100794224 | Valid Loss 0.095051707| lr 0.000900000 | time 205.744
Target: logvol | Layers 004| Heads 004| Epoch 008 | Train Loss 0.121437490 | Valid Loss 0.108026276| lr 0.000900000 | time 205.326
Target: logvol | Layers 004| Heads 004| Epoch 009 | Train Loss 0.136921629 | Valid Loss 0.112924403| lr 0.000900000 | time 208.536
Target: logvol | Layers 004| Heads 004| Epoch 010 | Train Loss 0.112648649 | Valid Loss 0.253843534| lr 0.000900000 | time 205.884
Target: logvol | Layers 004| Heads 004| Epoch 011 | Train Loss 0.112211757 | Valid Loss 0.124422438| lr 0.000900000 | time 204.964
Target: logvol | Layers 004| Heads 004| Epoch 012 | Train Loss 0.138542152 | Valid Loss 0.150335585| lr 0.000900000 | time 207.834
Target: logvol | Layers 004| Heads 004| Epoch 013 | Train Loss 0.146380449 | Valid Loss 0.116935087| lr 0.000900000 | time 206.378
Target: logvol | Layers 004| Heads 004| Epoch 014 | Train Loss 0.156599487 | Valid Loss 0.271407138| lr 0.000900000 | time 207.015
