Target: logvol | Layers 004| Heads 008| Epoch 000 | Train Loss 1.350313998 | Valid Loss 0.563903010| lr 0.000400000 | time 225.181
Target: logvol | Layers 004| Heads 008| Epoch 001 | Train Loss 1.596769093 | Valid Loss 0.237243259| lr 0.000400000 | time 219.655
Target: logvol | Layers 004| Heads 008| Epoch 002 | Train Loss 4.277013937 | Valid Loss 3.207548160| lr 0.000400000 | time 223.887
Target: logvol | Layers 004| Heads 008| Epoch 003 | Train Loss 11.610758567 | Valid Loss 2.936763652| lr 0.000400000 | time 219.533
Target: logvol | Layers 004| Heads 008| Epoch 004 | Train Loss 21.740824246 | Valid Loss 171.525172617| lr 0.000400000 | time 221.014
Target: logvol | Layers 004| Heads 008| Epoch 005 | Train Loss 6.125470307 | Valid Loss 3.789886479| lr 0.000400000 | time 230.540
Target: logvol | Layers 004| Heads 008| Epoch 006 | Train Loss 10.147360627 | Valid Loss 3.893174122| lr 0.000400000 | time 223.906
Target: logvol | Layers 004| Heads 008| Epoch 007 | Train Loss 10.534630469 | Valid Loss 0.897970041| lr 0.000400000 | time 221.974
Target: logvol | Layers 004| Heads 008| Epoch 008 | Train Loss 10.973603762 | Valid Loss 1.313048218| lr 0.000400000 | time 220.582
Target: logvol | Layers 004| Heads 008| Epoch 009 | Train Loss 23.629399635 | Valid Loss 1.006945385| lr 0.000400000 | time 219.838
Target: logvol | Layers 004| Heads 008| Epoch 010 | Train Loss 5.137527843 | Valid Loss 1.339828893| lr 0.000400000 | time 226.108
Target: logvol | Layers 004| Heads 008| Epoch 011 | Train Loss 12.666732880 | Valid Loss 16.104772455| lr 0.000400000 | time 224.886
Target: logvol | Layers 004| Heads 008| Epoch 012 | Train Loss 26.686365017 | Valid Loss 10.116750204| lr 0.000400000 | time 222.244
Target: logvol | Layers 004| Heads 008| Epoch 013 | Train Loss 33.218542657 | Valid Loss 1.537939182| lr 0.000400000 | time 229.544
Target: logvol | Layers 004| Heads 008| Epoch 014 | Train Loss 129.503632499 | Valid Loss 4.635203769| lr 0.000400000 | time 219.642
