Target: logvol | Layers 004| Heads 008| Epoch 000 | Train Loss 3965.142099825 | Valid Loss 4136.945754978| lr 0.001100000 | time 225.579
Target: logvol | Layers 004| Heads 008| Epoch 001 | Train Loss 31269.158849703 | Valid Loss 3384.107170591| lr 0.001100000 | time 219.610
Target: logvol | Layers 004| Heads 008| Epoch 002 | Train Loss 297886.291692681 | Valid Loss 337950.600657027| lr 0.001100000 | time 223.970
Target: logvol | Layers 004| Heads 008| Epoch 003 | Train Loss 609020.266912363 | Valid Loss 117645.470136097| lr 0.001100000 | time 219.690
Target: logvol | Layers 004| Heads 008| Epoch 004 | Train Loss 766430.965945035 | Valid Loss 40389.634489848| lr 0.001100000 | time 224.511
Target: logvol | Layers 004| Heads 008| Epoch 005 | Train Loss 90960.737238086 | Valid Loss 16141.869627133| lr 0.001100000 | time 229.847
Target: logvol | Layers 004| Heads 008| Epoch 006 | Train Loss 310904.762450740 | Valid Loss 467151.976836216| lr 0.001100000 | time 224.034
Target: logvol | Layers 004| Heads 008| Epoch 007 | Train Loss 268499.799850059 | Valid Loss 15174.809321818| lr 0.001100000 | time 221.880
Target: logvol | Layers 004| Heads 008| Epoch 008 | Train Loss 153946.268723442 | Valid Loss 34436.073507287| lr 0.001100000 | time 221.008
Target: logvol | Layers 004| Heads 008| Epoch 009 | Train Loss 35754.722212719 | Valid Loss 171.267409251| lr 0.001100000 | time 222.118
Target: logvol | Layers 004| Heads 008| Epoch 010 | Train Loss 17605.729294049 | Valid Loss 0.178863649| lr 0.001100000 | time 225.931
Target: logvol | Layers 004| Heads 008| Epoch 011 | Train Loss 40.997042958 | Valid Loss 0.101532286| lr 0.001100000 | time 223.249
Target: logvol | Layers 004| Heads 008| Epoch 012 | Train Loss 20.852381928 | Valid Loss 11.176090965| lr 0.001100000 | time 222.161
Target: logvol | Layers 004| Heads 008| Epoch 013 | Train Loss 3522.295219618 | Valid Loss 0.099758294| lr 0.001100000 | time 219.751
Target: logvol | Layers 004| Heads 008| Epoch 014 | Train Loss 46.183587437 | Valid Loss 0.178238170| lr 0.001100000 | time 218.549
