Target: logvol | Layers 004| Heads 008| Epoch 000 | Train Loss 7414298774156.312500000 | Valid Loss 3053029722433.006347656| lr 0.009000000 | time 228.136
Target: logvol | Layers 004| Heads 008| Epoch 001 | Train Loss 569272626820286.875000000 | Valid Loss 52452535231519.156250000| lr 0.009000000 | time 213.744
Target: logvol | Layers 004| Heads 008| Epoch 002 | Train Loss 5429796875927338.000000000 | Valid Loss 710787321383304.250000000| lr 0.009000000 | time 217.071
Target: logvol | Layers 004| Heads 008| Epoch 003 | Train Loss 30645007573110386688.000000000 | Valid Loss 31209866835909902336.000000000| lr 0.009000000 | time 217.511
Target: logvol | Layers 004| Heads 008| Epoch 004 | Train Loss 4982059300041744449536.000000000 | Valid Loss 19905729676598988242944.000000000| lr 0.009000000 | time 215.556
Target: logvol | Layers 004| Heads 008| Epoch 005 | Train Loss 73125184606210.171875000 | Valid Loss 2524153761837.060546875| lr 0.009000000 | time 219.695
Target: logvol | Layers 004| Heads 008| Epoch 006 | Train Loss 9723263723466928128.000000000 | Valid Loss 133859336690196.937500000| lr 0.009000000 | time 224.861
Target: logvol | Layers 004| Heads 008| Epoch 007 | Train Loss 229642382706999951360.000000000 | Valid Loss 329700758521342787584.000000000| lr 0.009000000 | time 228.069
Target: logvol | Layers 004| Heads 008| Epoch 008 | Train Loss 2453934660870519914496.000000000 | Valid Loss 3143547055773625352192.000000000| lr 0.009000000 | time 231.647
Target: logvol | Layers 004| Heads 008| Epoch 009 | Train Loss 3121356209306594181120.000000000 | Valid Loss 3143547055773625352192.000000000| lr 0.009000000 | time 235.464
Target: logvol | Layers 004| Heads 008| Epoch 010 | Train Loss 549882864656891314176.000000000 | Valid Loss 4828749619337834266624.000000000| lr 0.009000000 | time 218.047
Target: logvol | Layers 004| Heads 008| Epoch 011 | Train Loss 7624739457005913112576.000000000 | Valid Loss 9353608993455562817536.000000000| lr 0.009000000 | time 216.071
Target: logvol | Layers 004| Heads 008| Epoch 012 | Train Loss 8847436863436116459520.000000000 | Valid Loss 9353608993455562817536.000000000| lr 0.009000000 | time 213.970
Target: logvol | Layers 004| Heads 008| Epoch 013 | Train Loss 8869404013956036558848.000000000 | Valid Loss 9353608993455562817536.000000000| lr 0.009000000 | time 224.400
Target: logvol | Layers 004| Heads 008| Epoch 014 | Train Loss 8849972571427582246912.000000000 | Valid Loss 9353608993455562817536.000000000| lr 0.009000000 | time 229.365
