Target: logvol | Layers 004| Heads 008| Epoch 000 | Train Loss 21095743571794.003906250 | Valid Loss 11422411444395.451171875| lr 0.010000000 | time 228.052
Target: logvol | Layers 004| Heads 008| Epoch 001 | Train Loss 336946250115478.812500000 | Valid Loss 33399057449218.718750000| lr 0.010000000 | time 213.676
Target: logvol | Layers 004| Heads 008| Epoch 002 | Train Loss 159188506363290845184.000000000 | Valid Loss 389224588682996482048.000000000| lr 0.010000000 | time 217.098
Target: logvol | Layers 004| Heads 008| Epoch 003 | Train Loss 265793488285052796928.000000000 | Valid Loss 202062698729846964224.000000000| lr 0.010000000 | time 216.361
Target: logvol | Layers 004| Heads 008| Epoch 004 | Train Loss 223029071610311737344.000000000 | Valid Loss 202062698729846964224.000000000| lr 0.010000000 | time 216.671
Target: logvol | Layers 004| Heads 008| Epoch 005 | Train Loss 2442746708406193.500000000 | Valid Loss 5679772693796.916015625| lr 0.010000000 | time 222.446
Target: logvol | Layers 004| Heads 008| Epoch 006 | Train Loss 12340236724140001722368.000000000 | Valid Loss 10256409286894308818944.000000000| lr 0.010000000 | time 218.450
Target: logvol | Layers 004| Heads 008| Epoch 007 | Train Loss 10200364327153463984128.000000000 | Valid Loss 10256409286894308818944.000000000| lr 0.010000000 | time 216.557
Target: logvol | Layers 004| Heads 008| Epoch 008 | Train Loss 10179248063925498937344.000000000 | Valid Loss 10256409286894308818944.000000000| lr 0.010000000 | time 218.021
Target: logvol | Layers 004| Heads 008| Epoch 009 | Train Loss 10135459382140495462400.000000000 | Valid Loss 10256409286894308818944.000000000| lr 0.010000000 | time 218.223
Target: logvol | Layers 004| Heads 008| Epoch 010 | Train Loss 11459983363889727488.000000000 | Valid Loss 38882943258404429824.000000000| lr 0.010000000 | time 218.192
Target: logvol | Layers 004| Heads 008| Epoch 011 | Train Loss 1299284534300043378688.000000000 | Valid Loss 1520988819025469374464.000000000| lr 0.010000000 | time 216.073
Target: logvol | Layers 004| Heads 008| Epoch 012 | Train Loss 1594195784789327872000.000000000 | Valid Loss 1520988819025469374464.000000000| lr 0.010000000 | time 213.961
Target: logvol | Layers 004| Heads 008| Epoch 013 | Train Loss 33453423940777109618688.000000000 | Valid Loss 55916764020561667948544.000000000| lr 0.010000000 | time 224.398
Target: logvol | Layers 004| Heads 008| Epoch 014 | Train Loss 55091263285232698130432.000000000 | Valid Loss 55916764020561667948544.000000000| lr 0.010000000 | time 229.365
