Target: logvol | Layers 004| Heads 002| Epoch 000 | Train Loss 4.529211655 | Valid Loss 0.110380228| lr 0.000700000 | time 216.469
Target: logvol | Layers 004| Heads 002| Epoch 001 | Train Loss 985.211111936 | Valid Loss 0.097926564| lr 0.000700000 | time 214.885
Target: logvol | Layers 004| Heads 002| Epoch 002 | Train Loss 0.089396218 | Valid Loss 0.101556561| lr 0.000700000 | time 212.835
Target: logvol | Layers 004| Heads 002| Epoch 003 | Train Loss 10.333522655 | Valid Loss 0.101799509| lr 0.000700000 | time 211.597
Target: logvol | Layers 004| Heads 002| Epoch 004 | Train Loss 0.251353965 | Valid Loss 0.101841617| lr 0.000700000 | time 210.857
Target: logvol | Layers 004| Heads 002| Epoch 005 | Train Loss 0.115460110 | Valid Loss 0.099984198| lr 0.000700000 | time 214.925
Target: logvol | Layers 004| Heads 002| Epoch 006 | Train Loss 0.092127756 | Valid Loss 0.100183437| lr 0.000700000 | time 214.260
Target: logvol | Layers 004| Heads 002| Epoch 007 | Train Loss 0.108154112 | Valid Loss 0.095815552| lr 0.000700000 | time 211.875
Target: logvol | Layers 004| Heads 002| Epoch 008 | Train Loss 0.092275593 | Valid Loss 0.097991985| lr 0.000700000 | time 214.308
Target: logvol | Layers 004| Heads 002| Epoch 009 | Train Loss 0.100976930 | Valid Loss 0.100589949| lr 0.000700000 | time 214.074
Target: logvol | Layers 004| Heads 002| Epoch 010 | Train Loss 0.092843333 | Valid Loss 0.137707711| lr 0.000700000 | time 212.661
Target: logvol | Layers 004| Heads 002| Epoch 011 | Train Loss 0.129205025 | Valid Loss 0.105785626| lr 0.000700000 | time 202.064
Target: logvol | Layers 004| Heads 002| Epoch 012 | Train Loss 0.092228969 | Valid Loss 0.098511841| lr 0.000700000 | time 207.585
Target: logvol | Layers 004| Heads 002| Epoch 013 | Train Loss 0.092486897 | Valid Loss 0.094980453| lr 0.000700000 | time 210.078
Target: logvol | Layers 004| Heads 002| Epoch 014 | Train Loss 0.093743656 | Valid Loss 0.098442029| lr 0.000700000 | time 199.132
