Target: logvol | Layers 004| Heads 002| Epoch 000 | Train Loss 2062.299015766 | Valid Loss 1.148338551| lr 0.001000000 | time 206.348
Target: logvol | Layers 004| Heads 002| Epoch 001 | Train Loss 5669.606027878 | Valid Loss 0.714839444| lr 0.001000000 | time 200.969
Target: logvol | Layers 004| Heads 002| Epoch 002 | Train Loss 442.299350357 | Valid Loss 9.138681154| lr 0.001000000 | time 200.926
Target: logvol | Layers 004| Heads 002| Epoch 003 | Train Loss 0.141639319 | Valid Loss 0.125950860| lr 0.001000000 | time 199.542
Target: logvol | Layers 004| Heads 002| Epoch 004 | Train Loss 0.429525694 | Valid Loss 0.309792120| lr 0.001000000 | time 202.619
Target: logvol | Layers 004| Heads 002| Epoch 005 | Train Loss 0.196182276 | Valid Loss 0.098239843| lr 0.001000000 | time 570.841
Target: logvol | Layers 004| Heads 002| Epoch 006 | Train Loss 0.144056021 | Valid Loss 0.099572161| lr 0.001000000 | time 626.666
Target: logvol | Layers 004| Heads 002| Epoch 007 | Train Loss 0.187444482 | Valid Loss 0.510538737| lr 0.001000000 | time 650.487
Target: logvol | Layers 004| Heads 002| Epoch 008 | Train Loss 0.215078652 | Valid Loss 0.103080263| lr 0.001000000 | time 652.075
Target: logvol | Layers 004| Heads 002| Epoch 009 | Train Loss 0.125173538 | Valid Loss 0.098520324| lr 0.001000000 | time 651.408
Target: logvol | Layers 004| Heads 002| Epoch 010 | Train Loss 0.151680059 | Valid Loss 0.095922350| lr 0.001000000 | time 209.323
Target: logvol | Layers 004| Heads 002| Epoch 011 | Train Loss 0.131058513 | Valid Loss 0.095034907| lr 0.001000000 | time 197.387
Target: logvol | Layers 004| Heads 002| Epoch 012 | Train Loss 0.118987694 | Valid Loss 0.243636953| lr 0.001000000 | time 201.614
Target: logvol | Layers 004| Heads 002| Epoch 013 | Train Loss 3.889570130 | Valid Loss 0.096677854| lr 0.001000000 | time 200.935
Target: logvol | Layers 004| Heads 002| Epoch 014 | Train Loss 0.130959101 | Valid Loss 0.097204598| lr 0.001000000 | time 202.054
