Target: logvol | Towers 004| Heads 001| Epoch 000 | Train Loss 64.861871185 | Valid Loss 0.564252682| lr 0.000900000 | time 1992.253
Target: logvol | Towers 004| Heads 001| Epoch 001 | Train Loss 14.402923806 | Valid Loss 0.256583809| lr 0.000900000 | time 1991.537
Target: logvol | Towers 004| Heads 001| Epoch 002 | Train Loss 1.323138318 | Valid Loss 0.122146423| lr 0.000900000 | time 1995.376
Target: logvol | Towers 004| Heads 001| Epoch 003 | Train Loss 5.044111504 | Valid Loss 0.099733871| lr 0.000900000 | time 1986.007
Target: logvol | Towers 004| Heads 001| Epoch 004 | Train Loss 0.382610407 | Valid Loss 0.100374946| lr 0.000900000 | time 1971.865
Target: logvol | Towers 004| Heads 001| Epoch 005 | Train Loss 0.088495772 | Valid Loss 0.100696681| lr 0.000900000 | time 1933.375
Target: logvol | Towers 004| Heads 001| Epoch 006 | Train Loss 0.368066489 | Valid Loss 0.100144718| lr 0.000900000 | time 1930.198
Target: logvol | Towers 004| Heads 001| Epoch 007 | Train Loss 0.183312236 | Valid Loss 0.102740462| lr 0.000900000 | time 1933.462
Target: logvol | Towers 004| Heads 001| Epoch 008 | Train Loss 0.083447158 | Valid Loss 0.100780127| lr 0.000900000 | time 1931.210
Target: logvol | Towers 004| Heads 001| Epoch 009 | Train Loss 0.092267878 | Valid Loss 0.102521330| lr 0.000900000 | time 1933.054
Target: logvol | Towers 004| Heads 001| Epoch 010 | Train Loss 0.108121604 | Valid Loss 0.102306254| lr 0.000900000 | time 1945.637
Target: logvol | Towers 004| Heads 001| Epoch 011 | Train Loss 0.096028713 | Valid Loss 1.883966747| lr 0.000900000 | time 1921.823
Target: logvol | Towers 004| Heads 001| Epoch 012 | Train Loss 0.105785162 | Valid Loss 0.111734918| lr 0.000900000 | time 1916.188
Target: logvol | Towers 004| Heads 001| Epoch 013 | Train Loss 0.082436908 | Valid Loss 0.101056032| lr 0.000900000 | time 1918.668
Target: logvol | Towers 004| Heads 001| Epoch 014 | Train Loss 0.084811529 | Valid Loss 0.100982050| lr 0.000900000 | time 1920.947
