Target: logvol | Towers 004| Heads 001| Epoch 000 | Train Loss 107922.433552485 | Valid Loss 0.098550333| lr 0.007000000 | time 2261.434
Target: logvol | Towers 004| Heads 001| Epoch 001 | Train Loss 639.566478481 | Valid Loss 0.147466037| lr 0.007000000 | time 2256.317
Target: logvol | Towers 004| Heads 001| Epoch 002 | Train Loss 39.416927420 | Valid Loss 0.433911021| lr 0.007000000 | time 2115.533
Target: logvol | Towers 004| Heads 001| Epoch 003 | Train Loss 270.769345523 | Valid Loss 0.232057102| lr 0.007000000 | time 2103.186
Target: logvol | Towers 004| Heads 001| Epoch 004 | Train Loss 30643.254909458 | Valid Loss 0.857627034| lr 0.007000000 | time 2098.859
Target: logvol | Towers 004| Heads 001| Epoch 005 | Train Loss 687.939344015 | Valid Loss 0.095448444| lr 0.007000000 | time 1996.090
Target: logvol | Towers 004| Heads 001| Epoch 006 | Train Loss 212.347918984 | Valid Loss 0.265607932| lr 0.007000000 | time 1968.943
Target: logvol | Towers 004| Heads 001| Epoch 007 | Train Loss 375.539980059 | Valid Loss 0.127450705| lr 0.007000000 | time 1983.740
Target: logvol | Towers 004| Heads 001| Epoch 008 | Train Loss 103.261416518 | Valid Loss 0.128346126| lr 0.007000000 | time 1979.089
Target: logvol | Towers 004| Heads 001| Epoch 009 | Train Loss 42.692440913 | Valid Loss 2.095984008| lr 0.007000000 | time 1973.510
Target: logvol | Towers 004| Heads 001| Epoch 010 | Train Loss 177.720998213 | Valid Loss 0.253964493| lr 0.007000000 | time 1991.135
Target: logvol | Towers 004| Heads 001| Epoch 011 | Train Loss 72.096207196 | Valid Loss 0.276335543| lr 0.007000000 | time 1983.456
Target: logvol | Towers 004| Heads 001| Epoch 012 | Train Loss 35.899381261 | Valid Loss 0.117742826| lr 0.007000000 | time 1981.606
Target: logvol | Towers 004| Heads 001| Epoch 013 | Train Loss 93.448446607 | Valid Loss 0.110921940| lr 0.007000000 | time 1989.435
Target: logvol | Towers 004| Heads 001| Epoch 014 | Train Loss 1936.875479825 | Valid Loss 0.442298663| lr 0.007000000 | time 1986.006
