Target: logvol | Layers 004| Heads 002| Epoch 000 | Train Loss 1966157689.249796629 | Valid Loss 408.771941508| lr 0.007000000 | time 252.167
Target: logvol | Layers 004| Heads 002| Epoch 001 | Train Loss 9975435098833770496.000000000 | Valid Loss 440190431287110402048.000000000| lr 0.007000000 | time 242.058
Target: logvol | Layers 004| Heads 002| Epoch 002 | Train Loss 4889391158492690120704.000000000 | Valid Loss 2642290518526719426560.000000000| lr 0.007000000 | time 244.211
Target: logvol | Layers 004| Heads 002| Epoch 003 | Train Loss 1081741808958927808757760.000000000 | Valid Loss 2459723689649683520552960.000000000| lr 0.007000000 | time 242.626
Target: logvol | Layers 004| Heads 002| Epoch 004 | Train Loss 31985965988344847241576448.000000000 | Valid Loss 35297088367432073482338304.000000000| lr 0.007000000 | time 244.156
Target: logvol | Layers 004| Heads 002| Epoch 005 | Train Loss 953464907502.047485352 | Valid Loss 206959.201755513| lr 0.007000000 | time 241.870
Target: logvol | Layers 004| Heads 002| Epoch 006 | Train Loss 223733262.765141636 | Valid Loss 1882.024528420| lr 0.007000000 | time 239.457
Target: logvol | Layers 004| Heads 002| Epoch 007 | Train Loss 237126.596083046 | Valid Loss 21300.380689977| lr 0.007000000 | time 239.940
Target: logvol | Layers 004| Heads 002| Epoch 008 | Train Loss 193442.367774655 | Valid Loss 15.680550078| lr 0.007000000 | time 243.536
Target: logvol | Layers 004| Heads 002| Epoch 009 | Train Loss 234815.191875190 | Valid Loss 120.798016999| lr 0.007000000 | time 241.845
Target: logvol | Layers 004| Heads 002| Epoch 010 | Train Loss 167596.841542752 | Valid Loss 20.891524977| lr 0.007000000 | time 245.417
Target: logvol | Layers 004| Heads 002| Epoch 011 | Train Loss 311916.794985085 | Valid Loss 82.513025517| lr 0.007000000 | time 248.771
Target: logvol | Layers 004| Heads 002| Epoch 012 | Train Loss 260176.957040636 | Valid Loss 79.743474760| lr 0.007000000 | time 248.781
Target: logvol | Layers 004| Heads 002| Epoch 013 | Train Loss 118783.579854443 | Valid Loss 2098.492473710| lr 0.007000000 | time 244.362
Target: logvol | Layers 004| Heads 002| Epoch 014 | Train Loss 261654.438269389 | Valid Loss 2665.263341072| lr 0.007000000 | time 246.352
